Repository Name,Status,TypeScript,Java,C++,Python,Svelte,JavaScript,C#,C,Dart,Vue,HTML,TeX,SCSS,CSS,Dockerfile,Shell,CMake,Go,Astro,Q#,Swift,Makefile,Batchfile,PowerShell,Dogescript,Kotlin,Rust,Objective-C,Haskell,Total,
stupid-problems,ABANDONED,8514,0,56153,12033,0,722,0,4686,0,0,1197,24557,0,1037,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,109784,
cocoa-discord,ABANDONED,125964,0,0,0,0,6921,0,0,0,0,0,0,0,727,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,133788,
simple-todo-app-tauri,ARCHIVED,322,0,0,0,1264,889,0,0,0,0,351,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,3225,
rabbit-house-menu,ABANDONED,0,0,0,0,0,0,24226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24226,
golden-frame,STALE,0,0,0,7976,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8681,
you-are-a-failure,ABANDONED,270,0,0,0,9359,1661,53631,0,0,0,580,0,0,276,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,66100,
templates,ABANDONED,1201,0,0,0,376,3242,0,0,0,0,744,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6005,
baht.c,ABANDONED,1227,0,0,0,0,5930,0,4918,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,12455,
RTX-2090-TiFy-SUPER,ABANDONED,0,0,48909,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49322,
CRLF-Phobia,ABANDONED,1930,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,
friendship,ABANDONED,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,
microsoft-learn,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,924,
music-bot,ABANDONED,19686,0,0,0,0,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22664,
grab-krub,ABANDONED,1389,0,0,0,5390,3828,0,0,0,0,562,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12003,
cminusminus,ABANDONED,4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4824,
resumette,ARCHIVED,6954,0,0,0,7383,852,0,0,0,0,561,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15809,
blog,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
leomotors.github.io,ABANDONED,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,
sv-components,ABANDONED,352,0,0,0,8971,1703,0,0,0,0,482,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11777,
usagi-placeholder,ABANDONED,3485,0,0,0,0,1100,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4644,
test-on-production,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
waifu-bot,ABANDONED,97313,0,0,0,0,2704,0,0,0,0,0,0,931,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101512,
Com-POG,ABANDONED,11107,0,0,0,0,628,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11794,
awesome-secured-config,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
colors-generator,ARCHIVED,12174,0,0,0,0,755,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12988,
2110101-com-prog,ABANDONED,3182,0,1161,170644,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,175120,
cocoa-vitepress-theme,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,
long-live-hm,ABANDONED,14073,0,0,0,0,495,0,0,0,0,414,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15497,
producktivity,ARCHIVED,103023,0,0,0,0,4001,0,0,0,0,0,0,310,0,817,154,0,0,0,0,0,0,0,0,0,0,0,0,0,108305,
turbo-next-nest-graphql-prisma,ABANDONED,6946,0,0,0,0,1114,0,0,0,0,0,0,261,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8369,
deploy-deemai,ABANDONED,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,
advent-of-code-2022,ABANDONED,0,0,0,2735,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,2843,
daydream-cafe,ACTIVE,23471,0,0,0,17101,4447,0,0,0,0,346,0,223,260,0,154,0,0,3661,0,0,0,0,0,0,0,0,0,0,49663,
drunk-captcha,ABANDONED,16165,0,0,0,0,1817,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18467,
cp-checklist,STALE,85049,0,0,0,0,3199,0,0,0,0,0,0,261,492,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89463,
node-config,STALE,5148,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6086,
brikl-introduction,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
kita-ikuyo,ABANDONED,0,0,0,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,
2110215-prog-meth,ARCHIVED,2010,198443,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,201533,
A-chuan,ABANDONED,7544,0,0,0,6482,2166,0,0,0,0,485,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17057,
compengess-2022-2-activity-8-backend-group-35,ABANDONED,0,0,0,0,0,9591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9591,
javadx-sun-plus,ARCHIVED,0,126314,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127398,
sht7-strong-bird,ARCHIVED,10489,0,0,1094,10656,3154,0,0,0,0,369,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25821,
adobe-renew,ACTIVE,3754,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3891,
sht7-opening,ARCHIVED,925,0,0,0,999,2110,0,0,0,0,369,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4462,
file-upload-server,ACTIVE,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,
2110211-intro-data-struct,ACTIVE,2840,0,24359,0,0,197,0,0,0,0,0,0,0,57,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,27553,
cp49,ACTIVE,0,0,0,0,0,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,
intro-cedt-backend-activity,ARCHIVED,0,0,0,0,0,7419,0,0,0,0,1773,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10410,
espresso-generator,ACTIVE,9399,0,0,0,4662,1520,0,0,0,0,359,0,206,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17135,
home-env,ACTIVE,0,0,1786,0,0,0,0,0,0,0,1882,0,0,0,861,0,0,4420,0,0,0,0,0,0,0,0,0,0,0,8949,
Total,,821269,324757,271351,254768,139256,120585,77857,47643,41299,28879,26157,24557,13490,8551,7029,6740,4930,4420,3661,924,808,682,618,458,353,290,285,76,76,2231769,
Percentage,,36.80,14.55,12.16,11.42,6.24,5.40,3.49,2.13,1.85,1.29,1.17,1.10,0.60,0.38,0.31,0.30,0.22,0.20,0.16,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.00,0.00,100.00,
