name,TypeScript,C++,Svelte,C#,JavaScript,Python,C,Dart,Vue,TeX,HTML,SCSS,Shell,CSS,CMake,Q#,Swift,Makefile,Batchfile,PowerShell,Dogescript,Kotlin,Rust,Objective-C,Total,
microsoft-learn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,924,
music-bot,21690,0,0,0,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23781,
grab-krub,1389,0,5267,0,3828,0,0,0,0,0,562,0,0,834,0,0,0,0,0,0,0,0,0,0,11880,
cminusminus,5633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5633,
resumette,6954,0,7383,0,852,0,0,0,0,0,561,0,0,59,0,0,0,0,0,0,0,0,0,0,15809,
blog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
leomotors.github.io,270,0,6400,0,1517,0,0,0,0,0,484,0,0,214,0,0,0,0,0,0,0,0,0,0,8885,
sv-components,352,0,8971,0,1703,0,0,0,0,0,482,0,0,269,0,0,0,0,0,0,0,0,0,0,11777,
usagi-placeholder,3485,0,0,0,1100,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,4644,
test-on-production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
waifu-bot,43449,0,188,0,3508,0,0,0,0,0,404,221,150,0,0,0,0,0,0,0,0,0,0,0,47920,
awesome-secured-config,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,379338,216058,104989,77857,70076,52970,42957,41299,29452,24557,19957,9103,7356,6540,4930,924,808,682,618,458,353,290,285,76,1091933,
Percentage,34.74,19.79,9.61,7.13,6.42,4.85,3.93,3.78,2.70,2.25,1.83,0.83,0.67,0.60,0.45,0.08,0.07,0.06,0.06,0.04,0.03,0.03,0.03,0.01,100.00,
